original,disfluent,tokenized_disfluent,tokenized_fluent,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,degree,label
What kind of organs do some sponges have,What kind of organs do ctenophores or no make that do some sponges have,"['What', 'kind', 'of', 'organs', 'do', 'ctenophores', 'or', 'no', 'make', 'that', 'do', 'some', 'sponges', 'have']","['What', 'kind', 'of', 'organs', 'do', 'some', 'sponges', 'have']",How many tentacles does the Aboral What kind of organs do some sponges have,"['What', 'kind', 'of', 'organs', 'do', 'some', 'sponges', 'have']","['How', 'many', 'tentacles', 'does', 'the', 'Aboral', 'What', 'kind', 'of', 'organs', 'do', 'some', 'sponges', 'have']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
 How did the party overthrow the elected government in 1929,How did the party overthrow the elected government in 1985 no i mean 1929,"['How', 'did', 'the', 'party', 'overthrow', 'the', 'elected', 'government', 'in', '1985', 'no', 'i', 'mean', '1929']","['How', 'did', 'the', 'party', 'overthrow', 'the', 'elected', 'government', 'in', '1929']",What are some How did the party overthrow the elected government in 1929,"['How', 'did', 'the', 'party', 'overthrow', 'the', 'elected', 'government', 'in', '1929']","['What', 'are', 'some', 'How', 'did', 'the', 'party', 'overthrow', 'the', 'elected', 'government', 'in', '1929']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
In what year did Fresno get its first pedestrian mall,How no sorry in what year did Fresno get its first pedestrian mall,"['How', 'no', 'sorry', 'in', 'what', 'year', 'did', 'Fresno', 'get', 'its', 'first', 'pedestrian', 'mall']","['In', 'what', 'year', 'did', 'Fresno', 'get', 'its', 'first', 'pedestrian', 'mall']",What types of pharmacy In what year did Fresno get its first pedestrian mall,"['In', 'what', 'year', 'did', 'Fresno', 'get', 'its', 'first', 'pedestrian', 'mall']","['What', 'types', 'of', 'pharmacy', 'In', 'what', 'year', 'did', 'Fresno', 'get', 'its', 'first', 'pedestrian', 'mall']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Who were the main detractors of the humoral theory of immunity,What are or actually who were the main detractors of the humoral theory of immunity,"['What', 'are', 'or', 'actually', 'who', 'were', 'the', 'main', 'detractors', 'of', 'the', 'humoral', 'theory', 'of', 'immunity']","['Who', 'were', 'the', 'main', 'detractors', 'of', 'the', 'humoral', 'theory', 'of', 'immunity']",What will maidens be able to predict by Who were the main detractors of the humoral theory of immunity,"['Who', 'were', 'the', 'main', 'detractors', 'of', 'the', 'humoral', 'theory', 'of', 'immunity']","['What', 'will', 'maidens', 'be', 'able', 'to', 'predict', 'by', 'Who', 'were', 'the', 'main', 'detractors', 'of', 'the', 'humoral', 'theory', 'of', 'immunity']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is one function that prime numbers have that 1 does not,Which theorem oh wait what is one function that prime numbers have that 1 does not,"['Which', 'theorem', 'oh', 'wait', 'what', 'is', 'one', 'function', 'that', 'prime', 'numbers', 'have', 'that', '1', 'does', 'not']","['What', 'is', 'one', 'function', 'that', 'prime', 'numbers', 'have', 'that', '1', 'does', 'not']",How did What is one function that prime numbers have that 1 does not,"['What', 'is', 'one', 'function', 'that', 'prime', 'numbers', 'have', 'that', '1', 'does', 'not']","['How', 'did', 'What', 'is', 'one', 'function', 'that', 'prime', 'numbers', 'have', 'that', '1', 'does', 'not']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is another function that primes have that the number 15 does not,What is a fundamental no is another function that primes have that the number 15 does not,"['What', 'is', 'a', 'fundamental', 'no', 'is', 'another', 'function', 'that', 'primes', 'have', 'that', 'the', 'number', '15', 'does', 'not']","['What', 'is', 'another', 'function', 'that', 'primes', 'have', 'that', 'the', 'number', '15', 'does', 'not']",Anarchists do not want What is another function that primes have that the number 15 does not,"['What', 'is', 'another', 'function', 'that', 'primes', 'have', 'that', 'the', 'number', '15', 'does', 'not']","['Anarchists', 'do', 'not', 'want', 'What', 'is', 'another', 'function', 'that', 'primes', 'have', 'that', 'the', 'number', '15', 'does', 'not']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Why do oceanic plates and mantle convection currents move in opposite directions,When was um no why do oceanic plates and mantle convection currents move in opposite directions,"['When', 'was', 'um', 'no', 'why', 'do', 'oceanic', 'plates', 'and', 'mantle', 'convection', 'currents', 'move', 'in', 'opposite', 'directions']","['Why', 'do', 'oceanic', 'plates', 'and', 'mantle', 'convection', 'currents', 'move', 'in', 'opposite', 'directions']",What has Why do oceanic plates and mantle convection currents move in opposite directions,"['Why', 'do', 'oceanic', 'plates', 'and', 'mantle', 'convection', 'currents', 'move', 'in', 'opposite', 'directions']","['What', 'has', 'Why', 'do', 'oceanic', 'plates', 'and', 'mantle', 'convection', 'currents', 'move', 'in', 'opposite', 'directions']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Below what levels were the projected sea levels in the 2001 IPCC projection,Below what levels were the projected sea levels in the 2007 or no make that the 2001 IPCC projection,"['Below', 'what', 'levels', 'were', 'the', 'projected', 'sea', 'levels', 'in', 'the', '2007', 'or', 'no', 'make', 'that', 'the', '2001', 'IPCC', 'projection']","['Below', 'what', 'levels', 'were', 'the', 'projected', 'sea', 'levels', 'in', 'the', '2001', 'IPCC', 'projection']",Who congratulated the SNP Below what levels were the projected sea levels in the 2001 IPCC projection,"['Below', 'what', 'levels', 'were', 'the', 'projected', 'sea', 'levels', 'in', 'the', '2001', 'IPCC', 'projection']","['Who', 'congratulated', 'the', 'SNP', 'Below', 'what', 'levels', 'were', 'the', 'projected', 'sea', 'levels', 'in', 'the', '2001', 'IPCC', 'projection']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Who disagrees with the timetable of business in the chamber,Who sets the work agenda and allocates time in the chamber no not this I want to know who disagrees with the timetable of business in the chamber,"['Who', 'sets', 'the', 'work', 'agenda', 'and', 'allocates', 'time', 'in', 'the', 'chamber', 'no', 'not', 'this', 'I', 'want', 'to', 'know', 'who', 'disagrees', 'with', 'the', 'timetable', 'of', 'business', 'in', 'the', 'chamber']","['Who', 'disagrees', 'with', 'the', 'timetable', 'of', 'business', 'in', 'the', 'chamber']",What is the Who disagrees with the timetable of business in the chamber,"['Who', 'disagrees', 'with', 'the', 'timetable', 'of', 'business', 'in', 'the', 'chamber']","['What', 'is', 'the', 'Who', 'disagrees', 'with', 'the', 'timetable', 'of', 'business', 'in', 'the', 'chamber']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Innate cells can act as mediators in the activation of what branch of the immune system,What cells are the second arm of the innate immune system or rather Innate cells can act as mediators in the activation of what branch of the immune system,"['What', 'cells', 'are', 'the', 'second', 'arm', 'of', 'the', 'innate', 'immune', 'system', 'or', 'rather', 'Innate', 'cells', 'can', 'act', 'as', 'mediators', 'in', 'the', 'activation', 'of', 'what', 'branch', 'of', 'the', 'immune', 'system']","['Innate', 'cells', 'can', 'act', 'as', 'mediators', 'in', 'the', 'activation', 'of', 'what', 'branch', 'of', 'the', 'immune', 'system']",What kind of diploma is Innate cells can act as mediators in the activation of what branch of the immune system,"['Innate', 'cells', 'can', 'act', 'as', 'mediators', 'in', 'the', 'activation', 'of', 'what', 'branch', 'of', 'the', 'immune', 'system']","['What', 'kind', 'of', 'diploma', 'is', 'Innate', 'cells', 'can', 'act', 'as', 'mediators', 'in', 'the', 'activation', 'of', 'what', 'branch', 'of', 'the', 'immune', 'system']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What publication printed that the wealthiest 1 have more money than those in the bottom 99,What institution no um publication printed that the wealthiest 1 have more money than those in the bottom 99,"['What', 'institution', 'no', 'um', 'publication', 'printed', 'that', 'the', 'wealthiest', '1', 'have', 'more', 'money', 'than', 'those', 'in', 'the', 'bottom', '99']","['What', 'publication', 'printed', 'that', 'the', 'wealthiest', '1', 'have', 'more', 'money', 'than', 'those', 'in', 'the', 'bottom', '99']",Stage 4 What publication printed that the wealthiest 1 have more money than those in the bottom 99,"['What', 'publication', 'printed', 'that', 'the', 'wealthiest', '1', 'have', 'more', 'money', 'than', 'those', 'in', 'the', 'bottom', '99']","['Stage', '4', 'What', 'publication', 'printed', 'that', 'the', 'wealthiest', '1', 'have', 'more', 'money', 'than', 'those', 'in', 'the', 'bottom', '99']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When was the Masovian Duchy reincorporated into the Polish Crown,When was the settlement which would become Warsaw established no not that but when was the Masovian Duchy reincorporated into the Polish Crown,"['When', 'was', 'the', 'settlement', 'which', 'would', 'become', 'Warsaw', 'established', 'no', 'not', 'that', 'but', 'when', 'was', 'the', 'Masovian', 'Duchy', 'reincorporated', 'into', 'the', 'Polish', 'Crown']","['When', 'was', 'the', 'Masovian', 'Duchy', 'reincorporated', 'into', 'the', 'Polish', 'Crown']",What is the principle that When was the Masovian Duchy reincorporated into the Polish Crown,"['When', 'was', 'the', 'Masovian', 'Duchy', 'reincorporated', 'into', 'the', 'Polish', 'Crown']","['What', 'is', 'the', 'principle', 'that', 'When', 'was', 'the', 'Masovian', 'Duchy', 'reincorporated', 'into', 'the', 'Polish', 'Crown']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
In what decade did the U of C affiliate with numerous national colleges,In what decade did the Des Moines College or no make that the U of C affiliate with numerous national colleges,"['In', 'what', 'decade', 'did', 'the', 'Des', 'Moines', 'College', 'or', 'no', 'make', 'that', 'the', 'U', 'of', 'C', 'affiliate', 'with', 'numerous', 'national', 'colleges']","['In', 'what', 'decade', 'did', 'the', 'U', 'of', 'C', 'affiliate', 'with', 'numerous', 'national', 'colleges']",Melatonin during sleep can actively counteract In what decade did the U of C affiliate with numerous national colleges,"['In', 'what', 'decade', 'did', 'the', 'U', 'of', 'C', 'affiliate', 'with', 'numerous', 'national', 'colleges']","['Melatonin', 'during', 'sleep', 'can', 'actively', 'counteract', 'In', 'what', 'decade', 'did', 'the', 'U', 'of', 'C', 'affiliate', 'with', 'numerous', 'national', 'colleges']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What portion of housolds in Jacksonville have only one person,Which percentage of housolds in Jacksonville have more than no sorry have only one person,"['Which', 'percentage', 'of', 'housolds', 'in', 'Jacksonville', 'have', 'more', 'than', 'no', 'sorry', 'have', 'only', 'one', 'person']","['What', 'portion', 'of', 'housolds', 'in', 'Jacksonville', 'have', 'only', 'one', 'person']",Succeeding speakers are usually What portion of housolds in Jacksonville have only one person,"['What', 'portion', 'of', 'housolds', 'in', 'Jacksonville', 'have', 'only', 'one', 'person']","['Succeeding', 'speakers', 'are', 'usually', 'What', 'portion', 'of', 'housolds', 'in', 'Jacksonville', 'have', 'only', 'one', 'person']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How much do estimations of the population during the plague vary,How much did the clergy no do estimations of the population during the plague vary,"['How', 'much', 'did', 'the', 'clergy', 'no', 'do', 'estimations', 'of', 'the', 'population', 'during', 'the', 'plague', 'vary']","['How', 'much', 'do', 'estimations', 'of', 'the', 'population', 'during', 'the', 'plague', 'vary']",What state constitutional amendments make reference How much do estimations of the population during the plague vary,"['How', 'much', 'do', 'estimations', 'of', 'the', 'population', 'during', 'the', 'plague', 'vary']","['What', 'state', 'constitutional', 'amendments', 'make', 'reference', 'How', 'much', 'do', 'estimations', 'of', 'the', 'population', 'during', 'the', 'plague', 'vary']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
Theres a ro border between Switzerland and what other country formed by the Rhine,Theres a tributary border between Switzerland and what other country formed by the Rhine no a ro,"['Theres', 'a', 'tributary', 'border', 'between', 'Switzerland', 'and', 'what', 'other', 'country', 'formed', 'by', 'the', 'Rhine', 'no', 'a', 'ro']","['Theres', 'a', 'ro', 'border', 'between', 'Switzerland', 'and', 'what', 'other', 'country', 'formed', 'by', 'the', 'Rhine']",Hutchinson Hall was designed Theres a ro border between Switzerland and what other country formed by the Rhine,"['Theres', 'a', 'ro', 'border', 'between', 'Switzerland', 'and', 'what', 'other', 'country', 'formed', 'by', 'the', 'Rhine']","['Hutchinson', 'Hall', 'was', 'designed', 'Theres', 'a', 'ro', 'border', 'between', 'Switzerland', 'and', 'what', 'other', 'country', 'formed', 'by', 'the', 'Rhine']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is not a form of immunological memory,Which is or no make that what is not a form of immunological memory,"['Which', 'is', 'or', 'no', 'make', 'that', 'what', 'is', 'not', 'a', 'form', 'of', 'immunological', 'memory']","['What', 'is', 'not', 'a', 'form', 'of', 'immunological', 'memory']",Where did the Song What is not a form of immunological memory,"['What', 'is', 'not', 'a', 'form', 'of', 'immunological', 'memory']","['Where', 'did', 'the', 'Song', 'What', 'is', 'not', 'a', 'form', 'of', 'immunological', 'memory']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
In what month in 1349 did the second wave of the plague reach England,In what month in 1347 no um 1349 did the second wave of the plague reach England,"['In', 'what', 'month', 'in', '1347', 'no', 'um', '1349', 'did', 'the', 'second', 'wave', 'of', 'the', 'plague', 'reach', 'England']","['In', 'what', 'month', 'in', '1349', 'did', 'the', 'second', 'wave', 'of', 'the', 'plague', 'reach', 'England']",What kind In what month in 1349 did the second wave of the plague reach England,"['In', 'what', 'month', 'in', '1349', 'did', 'the', 'second', 'wave', 'of', 'the', 'plague', 'reach', 'England']","['What', 'kind', 'In', 'what', 'month', 'in', '1349', 'did', 'the', 'second', 'wave', 'of', 'the', 'plague', 'reach', 'England']","['D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
How many avulsions have occurred in the past 6000 yeas,How many avulsions have occurred in upland areas or actually just the past 6000 years,"['How', 'many', 'avulsions', 'have', 'occurred', 'in', 'upland', 'areas', 'or', 'actually', 'just', 'the', 'past', '6000', 'years']","['How', 'many', 'avulsions', 'have', 'occurred', 'in', 'the', 'past', '6000', 'yeas']",What was Eero Saarinen contracted to How many avulsions have occurred in the past 6000 yeas,"['How', 'many', 'avulsions', 'have', 'occurred', 'in', 'the', 'past', '6000', 'yeas']","['What', 'was', 'Eero', 'Saarinen', 'contracted', 'to', 'How', 'many', 'avulsions', 'have', 'occurred', 'in', 'the', 'past', '6000', 'yeas']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What question has not led to criticism,What question has not led to consequences  alternatively criticism,"['What', 'question', 'has', 'not', 'led', 'to', 'consequences', 'alternatively', 'criticism']","['What', 'question', 'has', 'not', 'led', 'to', 'criticism']",Who opened the new What question has not led to criticism,"['What', 'question', 'has', 'not', 'led', 'to', 'criticism']","['Who', 'opened', 'the', 'new', 'What', 'question', 'has', 'not', 'led', 'to', 'criticism']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What probiotic flora is found in unpasteurized yogurt,Which or rather what probiotic flora is found in unpasteurized yogurt,"['Which', 'or', 'rather', 'what', 'probiotic', 'flora', 'is', 'found', 'in', 'unpasteurized', 'yogurt']","['What', 'probiotic', 'flora', 'is', 'found', 'in', 'unpasteurized', 'yogurt']",An adobe that provides less utility to one person What probiotic flora is found in unpasteurized yogurt,"['What', 'probiotic', 'flora', 'is', 'found', 'in', 'unpasteurized', 'yogurt']","['An', 'adobe', 'that', 'provides', 'less', 'utility', 'to', 'one', 'person', 'What', 'probiotic', 'flora', 'is', 'found', 'in', 'unpasteurized', 'yogurt']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
When did Warsaw become the capital of the Kingdom of Poland,When is or actually tell me when did Warsaw become the capital of the Kingdom of Poland,"['When', 'is', 'or', 'actually', 'tell', 'me', 'when', 'did', 'Warsaw', 'become', 'the', 'capital', 'of', 'the', 'Kingdom', 'of', 'Poland']","['When', 'did', 'Warsaw', 'become', 'the', 'capital', 'of', 'the', 'Kingdom', 'of', 'Poland']",What techniques did Chinese When did Warsaw become the capital of the Kingdom of Poland,"['When', 'did', 'Warsaw', 'become', 'the', 'capital', 'of', 'the', 'Kingdom', 'of', 'Poland']","['What', 'techniques', 'did', 'Chinese', 'When', 'did', 'Warsaw', 'become', 'the', 'capital', 'of', 'the', 'Kingdom', 'of', 'Poland']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What is the rarest cause of poor immune function in developing countries,What occurs er what is the rarest cause of poor immune function in developing countries,"['What', 'occurs', 'er', 'what', 'is', 'the', 'rarest', 'cause', 'of', 'poor', 'immune', 'function', 'in', 'developing', 'countries']","['What', 'is', 'the', 'rarest', 'cause', 'of', 'poor', 'immune', 'function', 'in', 'developing', 'countries']",Which genus is considered the What is the rarest cause of poor immune function in developing countries,"['What', 'is', 'the', 'rarest', 'cause', 'of', 'poor', 'immune', 'function', 'in', 'developing', 'countries']","['Which', 'genus', 'is', 'considered', 'the', 'What', 'is', 'the', 'rarest', 'cause', 'of', 'poor', 'immune', 'function', 'in', 'developing', 'countries']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What does poor academic achievement lead to according to critics,What can nonprofit trusts and societies do no no wait What does poor academic achievement lead to according to critics,"['What', 'can', 'nonprofit', 'trusts', 'and', 'societies', 'do', 'no', 'no', 'wait', 'What', 'does', 'poor', 'academic', 'achievement', 'lead', 'to', 'according', 'to', 'critics']","['What', 'does', 'poor', 'academic', 'achievement', 'lead', 'to', 'according', 'to', 'critics']",When did the What does poor academic achievement lead to according to critics,"['What', 'does', 'poor', 'academic', 'achievement', 'lead', 'to', 'according', 'to', 'critics']","['When', 'did', 'the', 'What', 'does', 'poor', 'academic', 'achievement', 'lead', 'to', 'according', 'to', 'critics']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
What castle currently houses the Centre for Ujazdow Art,What castle currently concerts er  houses the Centre for Ujazdow Art,"['What', 'castle', 'currently', 'concerts', 'er', 'houses', 'the', 'Centre', 'for', 'Ujazdow', 'Art']","['What', 'castle', 'currently', 'houses', 'the', 'Centre', 'for', 'Ujazdow', 'Art']",Trial division involves dividing n by every What castle currently houses the Centre for Ujazdow Art,"['What', 'castle', 'currently', 'houses', 'the', 'Centre', 'for', 'Ujazdow', 'Art']","['Trial', 'division', 'involves', 'dividing', 'n', 'by', 'every', 'What', 'castle', 'currently', 'houses', 'the', 'Centre', 'for', 'Ujazdow', 'Art']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",restart,N/A,3
