original,disfluent,tokenized_disfluent,tokenized_fluent,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,label,degree
 How did the party overthrow the elected government in 1929,How did the party overthrow the elected government in 1985 no i mean 1929,"['How', 'did', 'the', 'party', 'overthrow', 'the', 'elected', 'government', 'in', '1985', 'no', 'i', 'mean', '1929']","['How', 'did', 'the', 'party', 'overthrow', 'the', 'elected', 'government', 'in', '1929']",How did the party overthrow the elected authorities no i meant to say the elected government in 1929,"['How', 'did', 'the', 'party', 'overthrow', 'the', 'elected', 'government', 'in', '1929']","['How', 'did', 'the', 'party', 'overthrow', 'the', 'elected', 'authorities', 'no', 'i', 'meant', 'to', 'say', 'the', 'elected', 'government', 'in', '1929']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
In what year did Fresno get its first pedestrian mall,How no sorry in what year did Fresno get its first pedestrian mall,"['How', 'no', 'sorry', 'in', 'what', 'year', 'did', 'Fresno', 'get', 'its', 'first', 'pedestrian', 'mall']","['In', 'what', 'year', 'did', 'Fresno', 'get', 'its', 'first', 'pedestrian', 'mall']",In what year did Fresno get its first pedestrian store well I actually meant pedestrian mall,"['In', 'what', 'year', 'did', 'Fresno', 'get', 'its', 'first', 'pedestrian', 'mall']","['In', 'what', 'year', 'did', 'Fresno', 'get', 'its', 'first', 'pedestrian', 'store', 'well', 'I', 'actually', 'meant', 'pedestrian', 'mall']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F']",noun_with_cue,2,N/A
Who were the main detractors of the humoral theory of immunity,What are or actually who were the main detractors of the humoral theory of immunity,"['What', 'are', 'or', 'actually', 'who', 'were', 'the', 'main', 'detractors', 'of', 'the', 'humoral', 'theory', 'of', 'immunity']","['Who', 'were', 'the', 'main', 'detractors', 'of', 'the', 'humoral', 'theory', 'of', 'immunity']",Who were the main detractor no wait detractors of the humoral theory of immunity,"['Who', 'were', 'the', 'main', 'detractors', 'of', 'the', 'humoral', 'theory', 'of', 'immunity']","['Who', 'were', 'the', 'main', 'detractor', 'no', 'wait', 'detractors', 'of', 'the', 'humoral', 'theory', 'of', 'immunity']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What is one function that prime numbers have that 1 does not,Which theorem oh wait what is one function that prime numbers have that 1 does not,"['Which', 'theorem', 'oh', 'wait', 'what', 'is', 'one', 'function', 'that', 'prime', 'numbers', 'have', 'that', '1', 'does', 'not']","['What', 'is', 'one', 'function', 'that', 'prime', 'numbers', 'have', 'that', '1', 'does', 'not']",What is one functionality actually no function that prime numbers have that 1 does not,"['What', 'is', 'one', 'function', 'that', 'prime', 'numbers', 'have', 'that', '1', 'does', 'not']","['What', 'is', 'one', 'functionality', 'actually', 'no', 'function', 'that', 'prime', 'numbers', 'have', 'that', '1', 'does', 'not']","['F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What is another function that primes have that the number 15 does not,What is a fundamental no is another function that primes have that the number 15 does not,"['What', 'is', 'a', 'fundamental', 'no', 'is', 'another', 'function', 'that', 'primes', 'have', 'that', 'the', 'number', '15', 'does', 'not']","['What', 'is', 'another', 'function', 'that', 'primes', 'have', 'that', 'the', 'number', '15', 'does', 'not']",What is another function that prime wait primes have that the number 15 does not,"['What', 'is', 'another', 'function', 'that', 'primes', 'have', 'that', 'the', 'number', '15', 'does', 'not']","['What', 'is', 'another', 'function', 'that', 'prime', 'wait', 'primes', 'have', 'that', 'the', 'number', '15', 'does', 'not']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
Why do oceanic plates and mantle convection currents move in opposite directions,When was um no why do oceanic plates and mantle convection currents move in opposite directions,"['When', 'was', 'um', 'no', 'why', 'do', 'oceanic', 'plates', 'and', 'mantle', 'convection', 'currents', 'move', 'in', 'opposite', 'directions']","['Why', 'do', 'oceanic', 'plates', 'and', 'mantle', 'convection', 'currents', 'move', 'in', 'opposite', 'directions']",Why do oceanic plates and mantle convection currents move in opposite direction no i meant to say opposite directions,"['Why', 'do', 'oceanic', 'plates', 'and', 'mantle', 'convection', 'currents', 'move', 'in', 'opposite', 'directions']","['Why', 'do', 'oceanic', 'plates', 'and', 'mantle', 'convection', 'currents', 'move', 'in', 'opposite', 'direction', 'no', 'i', 'meant', 'to', 'say', 'opposite', 'directions']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F']",noun_with_cue,2,N/A
Below what levels were the projected sea levels in the 2001 IPCC projection,Below what levels were the projected sea levels in the 2007 or no make that the 2001 IPCC projection,"['Below', 'what', 'levels', 'were', 'the', 'projected', 'sea', 'levels', 'in', 'the', '2007', 'or', 'no', 'make', 'that', 'the', '2001', 'IPCC', 'projection']","['Below', 'what', 'levels', 'were', 'the', 'projected', 'sea', 'levels', 'in', 'the', '2001', 'IPCC', 'projection']",Below what levels were the projected sea level no wait levels in the 2001 IPCC projection,"['Below', 'what', 'levels', 'were', 'the', 'projected', 'sea', 'levels', 'in', 'the', '2001', 'IPCC', 'projection']","['Below', 'what', 'levels', 'were', 'the', 'projected', 'sea', 'level', 'no', 'wait', 'levels', 'in', 'the', '2001', 'IPCC', 'projection']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
Who disagrees with the timetable of business in the chamber,Who sets the work agenda and allocates time in the chamber no not this I want to know who disagrees with the timetable of business in the chamber,"['Who', 'sets', 'the', 'work', 'agenda', 'and', 'allocates', 'time', 'in', 'the', 'chamber', 'no', 'not', 'this', 'I', 'want', 'to', 'know', 'who', 'disagrees', 'with', 'the', 'timetable', 'of', 'business', 'in', 'the', 'chamber']","['Who', 'disagrees', 'with', 'the', 'timetable', 'of', 'business', 'in', 'the', 'chamber']",Who disagrees with the network programming no sorry with the timetable of business in the chamber,"['Who', 'disagrees', 'with', 'the', 'timetable', 'of', 'business', 'in', 'the', 'chamber']","['Who', 'disagrees', 'with', 'the', 'network', 'programming', 'no', 'sorry', 'with', 'the', 'timetable', 'of', 'business', 'in', 'the', 'chamber']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
Which building was vacated three times to allow for the meeting of the Churchs General Assembly,Which building was vacated three times to allow for the meeting of the General Assembly Hall or no rather of the Churchs General Assembly,"['Which', 'building', 'was', 'vacated', 'three', 'times', 'to', 'allow', 'for', 'the', 'meeting', 'of', 'the', 'General', 'Assembly', 'Hall', 'or', 'no', 'rather', 'of', 'the', 'Churchs', 'General', 'Assembly']","['Which', 'building', 'was', 'vacated', 'three', 'times', 'to', 'allow', 'for', 'the', 'meeting', 'of', 'the', 'Churchs', 'General', 'Assembly']",Which building was vacated three times to allow for the encounter sorry the meeting of the Churchs General Assembly,"['Which', 'building', 'was', 'vacated', 'three', 'times', 'to', 'allow', 'for', 'the', 'meeting', 'of', 'the', 'Churchs', 'General', 'Assembly']","['Which', 'building', 'was', 'vacated', 'three', 'times', 'to', 'allow', 'for', 'the', 'encounter', 'sorry', 'the', 'meeting', 'of', 'the', 'Churchs', 'General', 'Assembly']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What is another name for State Route 168,What is another name for State Route 41 or no 168,"['What', 'is', 'another', 'name', 'for', 'State', 'Route', '41', 'or', 'no', '168']","['What', 'is', 'another', 'name', 'for', 'State', 'Route', '168']",What is another names wait a minute is another name for State Route 168,"['What', 'is', 'another', 'name', 'for', 'State', 'Route', '168']","['What', 'is', 'another', 'names', 'wait', 'a', 'minute', 'is', 'another', 'name', 'for', 'State', 'Route', '168']","['F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
Who deployed its army into Iraq in 1979,Who deployed its army into Afghanistan in 1979 no sorry not Afghanistan but in Iraq,"['Who', 'deployed', 'its', 'army', 'into', 'Afghanistan', 'in', '1979', 'no', 'sorry', 'not', 'Afghanistan', 'but', 'in', 'Iraq']","['Who', 'deployed', 'its', 'army', 'into', 'Iraq', 'in', '1979']",Who deployed its navy well I actually meant army into Iraq in 1979,"['Who', 'deployed', 'its', 'army', 'into', 'Iraq', 'in', '1979']","['Who', 'deployed', 'its', 'navy', 'well', 'I', 'actually', 'meant', 'army', 'into', 'Iraq', 'in', '1979']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
Innate cells can act as mediators in the activation of what branch of the immune system,What cells are the second arm of the innate immune system or rather Innate cells can act as mediators in the activation of what branch of the immune system,"['What', 'cells', 'are', 'the', 'second', 'arm', 'of', 'the', 'innate', 'immune', 'system', 'or', 'rather', 'Innate', 'cells', 'can', 'act', 'as', 'mediators', 'in', 'the', 'activation', 'of', 'what', 'branch', 'of', 'the', 'immune', 'system']","['Innate', 'cells', 'can', 'act', 'as', 'mediators', 'in', 'the', 'activation', 'of', 'what', 'branch', 'of', 'the', 'immune', 'system']",Innate cells can act as provocateur well I actually mean mediators in the activation of what branch of the immune system,"['Innate', 'cells', 'can', 'act', 'as', 'mediators', 'in', 'the', 'activation', 'of', 'what', 'branch', 'of', 'the', 'immune', 'system']","['Innate', 'cells', 'can', 'act', 'as', 'provocateur', 'well', 'I', 'actually', 'mean', 'mediators', 'in', 'the', 'activation', 'of', 'what', 'branch', 'of', 'the', 'immune', 'system']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
In what decade did the U of C affiliate with numerous national colleges,In what decade did the Des Moines College or no make that the U of C affiliate with numerous national colleges,"['In', 'what', 'decade', 'did', 'the', 'Des', 'Moines', 'College', 'or', 'no', 'make', 'that', 'the', 'U', 'of', 'C', 'affiliate', 'with', 'numerous', 'national', 'colleges']","['In', 'what', 'decade', 'did', 'the', 'U', 'of', 'C', 'affiliate', 'with', 'numerous', 'national', 'colleges']",In what decade did the U of C affiliate with numerous national college I am sorry colleges,"['In', 'what', 'decade', 'did', 'the', 'U', 'of', 'C', 'affiliate', 'with', 'numerous', 'national', 'colleges']","['In', 'what', 'decade', 'did', 'the', 'U', 'of', 'C', 'affiliate', 'with', 'numerous', 'national', 'college', 'I', 'am', 'sorry', 'colleges']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F']",noun_with_cue,2,N/A
What portion of housolds in Jacksonville have only one person,Which percentage of housolds in Jacksonville have more than no sorry have only one person,"['Which', 'percentage', 'of', 'housolds', 'in', 'Jacksonville', 'have', 'more', 'than', 'no', 'sorry', 'have', 'only', 'one', 'person']","['What', 'portion', 'of', 'housolds', 'in', 'Jacksonville', 'have', 'only', 'one', 'person']",What portion of housolds in Jacksonville have only one adult body no one person,"['What', 'portion', 'of', 'housolds', 'in', 'Jacksonville', 'have', 'only', 'one', 'person']","['What', 'portion', 'of', 'housolds', 'in', 'Jacksonville', 'have', 'only', 'one', 'adult', 'body', 'no', 'one', 'person']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F']",noun_with_cue,2,N/A
How much do estimations of the population during the plague vary,How much did the clergy no do estimations of the population during the plague vary,"['How', 'much', 'did', 'the', 'clergy', 'no', 'do', 'estimations', 'of', 'the', 'population', 'during', 'the', 'plague', 'vary']","['How', 'much', 'do', 'estimations', 'of', 'the', 'population', 'during', 'the', 'plague', 'vary']",How much do estimation wait estimations of the population during the plague vary,"['How', 'much', 'do', 'estimations', 'of', 'the', 'population', 'during', 'the', 'plague', 'vary']","['How', 'much', 'do', 'estimation', 'wait', 'estimations', 'of', 'the', 'population', 'during', 'the', 'plague', 'vary']","['F', 'F', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
Theres a ro border between Switzerland and what other country formed by the Rhine,Theres a tributary border between Switzerland and what other country formed by the Rhine no a ro,"['Theres', 'a', 'tributary', 'border', 'between', 'Switzerland', 'and', 'what', 'other', 'country', 'formed', 'by', 'the', 'Rhine', 'no', 'a', 'ro']","['Theres', 'a', 'ro', 'border', 'between', 'Switzerland', 'and', 'what', 'other', 'country', 'formed', 'by', 'the', 'Rhine']",Theres a ro periphery well I actually meant border between Switzerland and what other country formed by the Rhine,"['Theres', 'a', 'ro', 'border', 'between', 'Switzerland', 'and', 'what', 'other', 'country', 'formed', 'by', 'the', 'Rhine']","['Theres', 'a', 'ro', 'periphery', 'well', 'I', 'actually', 'meant', 'border', 'between', 'Switzerland', 'and', 'what', 'other', 'country', 'formed', 'by', 'the', 'Rhine']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
In what month in 1349 did the second wave of the plague reach England,In what month in 1347 no um 1349 did the second wave of the plague reach England,"['In', 'what', 'month', 'in', '1347', 'no', 'um', '1349', 'did', 'the', 'second', 'wave', 'of', 'the', 'plague', 'reach', 'England']","['In', 'what', 'month', 'in', '1349', 'did', 'the', 'second', 'wave', 'of', 'the', 'plague', 'reach', 'England']",In what day well I actually mean In what month in 1349 did the second wave of the plague reach England,"['In', 'what', 'month', 'in', '1349', 'did', 'the', 'second', 'wave', 'of', 'the', 'plague', 'reach', 'England']","['In', 'what', 'day', 'well', 'I', 'actually', 'mean', 'In', 'what', 'month', 'in', '1349', 'did', 'the', 'second', 'wave', 'of', 'the', 'plague', 'reach', 'England']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
How many avulsions have occurred in the past 6000 yeas,How many avulsions have occurred in upland areas or actually just the past 6000 years,"['How', 'many', 'avulsions', 'have', 'occurred', 'in', 'upland', 'areas', 'or', 'actually', 'just', 'the', 'past', '6000', 'years']","['How', 'many', 'avulsions', 'have', 'occurred', 'in', 'the', 'past', '6000', 'yeas']",How many atomisation actually no many avulsions have occurred in the past 6000 yeas,"['How', 'many', 'avulsions', 'have', 'occurred', 'in', 'the', 'past', '6000', 'yeas']","['How', 'many', 'atomisation', 'actually', 'no', 'many', 'avulsions', 'have', 'occurred', 'in', 'the', 'past', '6000', 'yeas']","['F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What question has not led to criticism,What question has not led to consequences  alternatively criticism,"['What', 'question', 'has', 'not', 'led', 'to', 'consequences', 'alternatively', 'criticism']","['What', 'question', 'has', 'not', 'led', 'to', 'criticism']",What question has not led to critique wait to criticism,"['What', 'question', 'has', 'not', 'led', 'to', 'criticism']","['What', 'question', 'has', 'not', 'led', 'to', 'critique', 'wait', 'to', 'criticism']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F']",noun_with_cue,2,N/A
What is another type of public key cryptography algorithm,Which is or no rather what is another type of public key cryptography algorithm,"['Which', 'is', 'or', 'no', 'rather', 'what', 'is', 'another', 'type', 'of', 'public', 'key', 'cryptography', 'algorithm']","['What', 'is', 'another', 'type', 'of', 'public', 'key', 'cryptography', 'algorithm']",What is another type of public key decryption no wait public key cryptography algorithm,"['What', 'is', 'another', 'type', 'of', 'public', 'key', 'cryptography', 'algorithm']","['What', 'is', 'another', 'type', 'of', 'public', 'key', 'decryption', 'no', 'wait', 'public', 'key', 'cryptography', 'algorithm']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What did Neoclassical economics view the inequality in the distribution of income as being from,What philosophy er what did Neoclassical economics view the inequality in the distribution of income as being from,"['What', 'philosophy', 'er', 'what', 'did', 'Neoclassical', 'economics', 'view', 'the', 'inequality', 'in', 'the', 'distribution', 'of', 'income', 'as', 'being', 'from']","['What', 'did', 'Neoclassical', 'economics', 'view', 'the', 'inequality', 'in', 'the', 'distribution', 'of', 'income', 'as', 'being', 'from']",What did Neoclassical government well I actually mean did Neoclassical economics view the inequality in the distribution of income as being from,"['What', 'did', 'Neoclassical', 'economics', 'view', 'the', 'inequality', 'in', 'the', 'distribution', 'of', 'income', 'as', 'being', 'from']","['What', 'did', 'Neoclassical', 'government', 'well', 'I', 'actually', 'mean', 'did', 'Neoclassical', 'economics', 'view', 'the', 'inequality', 'in', 'the', 'distribution', 'of', 'income', 'as', 'being', 'from']","['F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What tool do they use in public school to maintain discipline,What tool do they use in private school to maintain discipline oh sorry that was supposed to be public schools,"['What', 'tool', 'do', 'they', 'use', 'in', 'private', 'school', 'to', 'maintain', 'discipline', 'oh', 'sorry', 'that', 'was', 'supposed', 'to', 'be', 'public', 'schools']","['What', 'tool', 'do', 'they', 'use', 'in', 'public', 'school', 'to', 'maintain', 'discipline']",What makeshift sorry tool do they use in public school to maintain discipline,"['What', 'tool', 'do', 'they', 'use', 'in', 'public', 'school', 'to', 'maintain', 'discipline']","['What', 'makeshift', 'sorry', 'tool', 'do', 'they', 'use', 'in', 'public', 'school', 'to', 'maintain', 'discipline']","['F', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
What did the ongoing Alpine orogeny cause before the Eocene,What did the ongoing Upper Rhine  rather Alpine orogeny cause before the Eocene,"['What', 'did', 'the', 'ongoing', 'Upper', 'Rhine', 'rather', 'Alpine', 'orogeny', 'cause', 'before', 'the', 'Eocene']","['What', 'did', 'the', 'ongoing', 'Alpine', 'orogeny', 'cause', 'before', 'the', 'Eocene']",What did the ongoing Alpine orogeny excuse no wait orogeny cause before the Eocene,"['What', 'did', 'the', 'ongoing', 'Alpine', 'orogeny', 'cause', 'before', 'the', 'Eocene']","['What', 'did', 'the', 'ongoing', 'Alpine', 'orogeny', 'excuse', 'no', 'wait', 'orogeny', 'cause', 'before', 'the', 'Eocene']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,2,N/A
